15.4,13.11,11.19,13.71,14.7,14.24,13.51,13.06,11.38,9.325,11.75,11.25,14.52,11.63,14.91,11.25
2.241,1.79,1.576,1.835,1.933,1.829,1.798,1.785,1.598,1.37,1.639,1.583,1.902,1.625,2.051,1.583
1,1.341,2.078,1.112,1.024,1,1.083,1.076,1.513,1.363,1.119,1.168,1,1.026,1,1.267
9.9,6.091,6.575,4.118,7.819,6.879,6.195,4.293,5.487,5.612,7.264,4.843,9.446,6.276,9.9,3.821
0.1214,0.09923,0.1262,0.1135,0.1107,0.1052,0.123,0.101,0.1418,0.09986,0.1134,0.1018,0.1402,0.1228,0.1238,0.1019
-1.292,-1.181,-1.815,-1.601,-1.365,-1.636,-1.573,-1.705,-2.418,-1.393,-1.729,-1.453,-2.098,-1.875,-2.185,-1.659
16.5,11.2,15.1,12.48,14.83,15.3,13.21,14.77,17.8,11.98,15.74,12.53,18.98,16.07,20.08,12.56
